EGR1	DUSP1	0
SERPINF2	KNG1	0
MYBPC1	TMOD1	0
ACTN1	PDLIM3	0
AR	SLC25A4	0
PTPRC	LGALS1	0
TTN	VCL	0
TNC	ITGA7	0
CCNB2	CCNB1	0
NCOA3	STAT6	0
ABL1	PTPRC	0
MUC1	CDH1	0
BAX	SLC25A4	0
MFGE8	LTF	0
MX1	IFI27	0
VIPR1	GHRHR	0
FN1	TNC	0
TOP2A	VHL	0
ACTN1	LDB3	0
LPAR4	LPAR1	0
ZWINT	PLK1	0
C1S	C1R	0
CYR61	ILK	0
SLC9A3R1	PDGFRA	0
SPTBN1	SPTBN2	0
DST	ITGB4	0
AR	FKBP4	0
DES	TNNT1	0
NR1H2	NR4A1	0
FN1	VHL	0
NR4A2	RARB	0
SPAG5	AURKA	0
SHBG	ACTG2	0
TGFBR2	TGFB3	0
IGK@	ERBB3	0
